Vam	Vbm	Vcm	Iam	Ibm	Icm
0.825877273	0.228059454	0.239598456	0.119339827	0.608162437	0.581311761
0.48076393	0.405750334	0.877400229	0.57518806	0.532662299	0.17056398
0.062442218	0.062522263	0.062386771	0.638105996	0.638322831	0.638540916
0.446310523	0.877283712	0.437041117	0.546079189	0.170575782	0.575734069
0.866970809	0.867208136	0.104004247	0.159328013	0.163083806	0.615310553
0.876943808	0.438461207	0.438456504	0.170187049	0.626632937	0.596315265
0.071474235	0.856083794	0.068813518	0.629545674	0.149485917	0.650005829
5.49528E-06	0.87556391	0.881774515	0.699208323	0.170636017	0.175251906
0.435901405	0.877441038	0.448201688	0.54279202	0.170595114	0.575726773
0.445434169	0.449273029	0.877346112	0.608474527	0.578268307	0.170601262
0.874820881	0.049620945	0.87223679	0.168405167	0.658431539	0.165215612
0.027517575	0.028056923	0.027690449	0.69508527	0.695143557	0.69512779
0.028203517	0.882323899	0.028119274	0.694918976	0.175559958	0.695828504
0.871703248	0.874214232	0.065194583	0.1644458	0.167779685	0.652760936
0.862606315	0.846253924	0.141693964	0.15392531	0.149987504	0.564557251
0.404140874	0.877540979	0.473511132	0.585968055	0.170478103	0.625693672
0.401940153	0.877357131	0.487081395	0.564029122	0.170552232	0.606912453
0.081380463	0.079515302	0.869168334	0.67392401	0.662086204	0.162536118
0.459021527	0.422015826	0.877473179	0.590706418	0.555013257	0.170483754
0.404222127	0.877712041	0.473601747	0.586135139	0.170439305	0.62582075
0.881001202	0.027704156	0.027483005	0.175197353	0.694958272	0.695294009
0.083502906	0.083673895	0.084047932	0.632146109	0.63220183	0.632436557
0.480582668	0.40585681	0.877323039	0.574825257	0.532414925	0.170555048
0.083520954	0.076015316	0.855144139	0.648415667	0.627633355	0.148700566
0.439603161	0.877514791	0.448818992	0.527584768	0.17062292	0.559861603
0.222981506	0.826514945	0.223387009	0.581674463	0.119194663	0.612395057
0.856263534	0.079838464	0.071569269	0.149630322	0.647981542	0.62779769
0.091282271	0.074470518	0.855508669	0.64564195	0.625938083	0.149122988
0.091438465	0.074442857	0.855556443	0.645580912	0.62565756	0.14935795
0.855472916	0.06895486	0.071428753	0.149078729	0.649802179	0.629289555
0.860893931	0.845383529	0.141671766	0.153949741	0.150069544	0.564486886
0.869177176	0.091306235	0.079220924	0.162542	0.672687352	0.660028873
0.86742049	0.866186459	0.077255965	0.159795823	0.161580022	0.622945242
0.075041117	0.074882312	0.075309491	0.634376234	0.63437392	0.634509504
0.040826771	0.874911338	0.883142188	0.692516854	0.169876422	0.175172993
0.134728091	0.125758041	0.826896669	0.604194276	0.576151442	0.119252014
0.072295925	0.065986508	0.086693596	0.670575631	0.669923702	0.670782127
0.877438708	0.459054622	0.42566072	0.17060095	0.575797662	0.539674048
0.080655436	0.21881851	0.222874915	0.620186622	0.626275817	0.62703793
0.515677957	0.525929446	0.877450246	0.562061064	0.532305598	0.170605841
0.040818911	0.880940541	0.041173012	0.692879636	0.175091676	0.692445358
0.863745623	0.857181773	0.130378712	0.155387769	0.157177703	0.586441243
0.874532842	0.882422519	5.49578E-06	0.170403422	0.175446441	0.699330692
0.435684005	0.877372944	0.453942564	0.576741523	0.170539437	0.610118544
0.07427071	0.855659429	0.091314171	0.625800795	0.149290801	0.645795958
5.49603E-06	0.874149946	0.882238926	0.699411105	0.170071332	0.175480458
0.87758481	0.459054234	0.422127829	0.170511367	0.590862375	0.555314588
