Vam	Vbm	Vcm	Iam	Ibm	Icm
0.875419944	0.065207196	0.872322107	0.168948058	0.652737349	0.164818169
0.090863977	0.07846423	0.869091554	0.671345527	0.657423592	0.162546446
0.411684616	0.877161917	0.470162211	0.552051686	0.170253442	0.590915991
0.87731682	0.451069163	0.432407298	0.170504444	0.608595534	0.575168844
0.137180558	0.862488811	0.845206868	0.56621412	0.154909208	0.149808431
0.429698837	0.877765485	0.459708917	0.524142526	0.170767092	0.560011735
0.824638503	0.185602094	0.185792288	0.118214161	0.610766269	0.580663284
0.877399095	0.450990054	0.432591441	0.170543691	0.609066289	0.57579344
0.82668385	0.200414706	0.202679014	0.119428569	0.610950114	0.579901619
0.074159028	0.855563215	0.091175953	0.625871025	0.149213247	0.645839434
0.078697879	0.869173083	0.087065117	0.661009463	0.162560198	0.673649031
0.405675052	0.877260292	0.480691222	0.532919321	0.170500221	0.575232291
0.860619606	0.844853576	0.137070354	0.154447515	0.14929066	0.566213222
0.266955361	0.280010389	0.82572701	0.614121001	0.588359195	0.118770527
0.415664768	0.877423955	0.470028003	0.5361533	0.170588277	0.575466176
0.881764786	0.041168551	0.040788841	0.17503327	0.692462328	0.69302022
0.062556573	0.062402243	0.062459468	0.638727478	0.638582265	0.638547298
0.439768797	0.877935924	0.449068592	0.527816111	0.170730395	0.55976066
0.465450781	0.877493327	0.449631895	0.531184605	0.170691052	0.56034846
0.877747034	0.480977699	0.410300279	0.170606818	0.559475161	0.517489742
0.244315082	0.825187573	0.237067578	0.584498176	0.118512214	0.613126059
0.855659098	0.10325	0.078849528	0.149649777	0.643541821	0.623801265
0.872618393	0.874449658	0.047168326	0.165025256	0.168179562	0.657043806
0.014264102	0.881168287	0.014158676	0.697007906	0.175124101	0.697334251
0.065241444	0.87076385	0.874368048	0.652792753	0.164526109	0.168740483
0.072557581	0.070063077	0.07467906	0.649523154	0.650035759	0.650109541
0.13426857	0.125613378	0.826633524	0.604157121	0.575873365	0.119346043
0.873966594	0.055320101	0.872532745	0.168048327	0.654768755	0.16448908
0.487189342	0.401701943	0.877351704	0.608103523	0.565043926	0.170507499
0.210268795	0.825146247	0.208572947	0.581609646	0.11895092	0.609990031
0.462114518	0.415548947	0.877636408	0.626178492	0.589725452	0.170680933
0.054272227	0.876148431	0.883102603	0.690535728	0.17093274	0.175368861
0.084259118	0.075803867	0.855427574	0.647564141	0.628210752	0.149074024
0.860974856	0.846451764	0.147487708	0.152861547	0.150607183	0.562771809
0.855472167	0.06899164	0.071350724	0.149099423	0.649664449	0.62948116
0.448161018	0.432778052	0.877787361	0.591028081	0.558189824	0.170845131
0.105982165	0.082169525	0.854686101	0.64222416	0.623646649	0.149124505
0.125249	0.103152892	0.841564008	0.62366925	0.598500554	0.135338796
0.082269622	0.079969076	0.868802808	0.674273758	0.662515677	0.162565467
0.40203484	0.877345016	0.486884873	0.564026462	0.170544727	0.606983007
0.087823672	0.866363094	0.865649923	0.6196793	0.158753428	0.161846696
0.872335178	0.874464282	0.075962043	0.165296383	0.168611711	0.650589252
0.072552086	0.070094529	0.075200818	0.649378602	0.649823673	0.649359661
0.438569439	0.877169321	0.438574098	0.596624669	0.17040574	0.626501855
0.866804544	0.104384677	0.86683071	0.162652034	0.615176601	0.159175246
0.047199337	0.871041215	0.875704764	0.656753906	0.164764922	0.169013474
0.086336134	0.077740553	0.869073516	0.671733795	0.660481092	0.162569577
0.877232285	0.43860544	0.43860072	0.170489336	0.62642971	0.596414617
0.275060542	0.279924272	0.825703847	0.613634299	0.585684287	0.11855943
0.014004404	0.014023469	0.88126478	0.696980735	0.697252439	0.175174073
0.877346581	0.484089282	0.399395095	0.170581407	0.608763066	0.566082228
0.083389144	0.102238632	0.841708072	0.631299019	0.60611074	0.134686541
