Vam	Vbm	Vcm	Iam	Ibm	Icm
0.446324063	0.87731814	0.437061034	0.546068117	0.170580439	0.575757349
0.123716374	0.121221193	0.09868051	0.612967026	0.611442225	0.614998576
0.874881659	0.047115321	0.872130976	0.168307975	0.657012464	0.165106962
0.826159867	0.232755545	0.227274842	0.119141318	0.609139423	0.581909815
0.325917737	0.349349871	0.824822308	0.618481421	0.58939979	0.118623343
0.462090898	0.415525018	0.877589278	0.626262679	0.589605998	0.17068187
0.028096105	0.881140023	0.028794587	0.695588757	0.175428754	0.695294298
0.040848956	0.874595838	0.882269867	0.692926545	0.170209688	0.175041421
0.071628751	0.854709751	0.079622003	0.6276591	0.148911304	0.647572283
0.063186449	0.060072576	0.06527412	0.651768219	0.652024557	0.651607311
0.448796742	0.87733911	0.444631826	0.578625111	0.170601551	0.608818123
0.86370974	0.856685479	0.123090067	0.155247431	0.156465422	0.588716198
0.429579865	0.877544111	0.459604469	0.524345228	0.170842409	0.559931801
0.080601289	0.220203802	0.225102119	0.620275358	0.625461715	0.627226265
0.86565305	0.076948215	0.867968715	0.161241398	0.623318571	0.159995608
0.147729136	0.131170122	0.825773588	0.604243785	0.575140789	0.119220637
0.877322192	0.473317989	0.410069238	0.170571559	0.608844506	0.569238221
0.845849243	0.147380237	0.86019537	0.150661535	0.562803252	0.152984384
0.875249197	0.047095807	0.87288462	0.168515644	0.6569751	0.165890157
0.065243348	0.871520977	0.874959353	0.652466915	0.164658592	0.168712471
0.86629143	0.865977427	0.087865669	0.15947186	0.162029881	0.619537802
0.875015455	0.065209723	0.871633193	0.16872136	0.652957305	0.164569564
0.067658089	0.067636871	0.067810539	0.636599563	0.636516293	0.636906939
0.476384351	0.41297202	0.877343826	0.609646873	0.570010287	0.170540735
0.047219806	0.870549585	0.874001578	0.656769289	0.164200311	0.16844053
0.027507137	0.076569273	0.07649866	0.678771775	0.679766184	0.679457221
0.480507032	0.4059333	0.877301834	0.575040571	0.532537429	0.170571119
0.85545834	0.103029763	0.078903838	0.149744719	0.643337527	0.623689497
0.859932658	0.844798457	0.147482121	0.152493013	0.150318956	0.562722863
0.435884269	0.877297503	0.448082958	0.542727636	0.170522828	0.575630917
0.448411563	0.877337687	0.444894994	0.578597349	0.170604462	0.608839425
0.475751725	0.414000317	0.87731135	0.607737616	0.56823548	0.170582779
