Vam	Vbm	Vcm	Iam	Ibm	Icm
0.469925081	0.411687744	0.877542677	0.590793186	0.551599727	0.170735981
0.076006839	0.870755205	0.875824521	0.650376729	0.164561146	0.169391819
0.862532437	0.843345338	0.133763485	0.155240559	0.148120518	0.567668247
0.411681662	0.877165264	0.470191921	0.552016043	0.170271786	0.590859889
0.844521729	0.137277195	0.861955561	0.149351022	0.566377383	0.154891696
0.877493596	0.44886644	0.439555762	0.170692535	0.559681956	0.527747331
0.054235747	0.881180674	0.054620899	0.690785586	0.175281898	0.690215695
0.87284492	0.8750574	0.055269796	0.164936435	0.168995699	0.654972165
0.080944438	0.083622723	0.868981154	0.675436183	0.663573708	0.162675431
0.875698671	0.076051079	0.871227409	0.169021889	0.650486689	0.16423433
0.180206549	0.091499412	0.190778896	0.615091651	0.616353213	0.616100087
0.111508302	0.864686332	0.855366088	0.59215607	0.156384903	0.15538664
0.825477814	0.194711662	0.199718378	0.118721821	0.607546013	0.57725231
0.419369106	0.876730084	0.4698832	0.521095515	0.170648433	0.559571025
0.083304974	0.0837211	0.084101976	0.632355217	0.632085919	0.63247173
0.877326032	0.480532518	0.405670603	0.170571304	0.575190895	0.532856663
0.09307829	0.299063579	0.251655013	0.622100426	0.621107721	0.621310352
0.875087696	0.882447039	0.040859986	0.170127931	0.174636514	0.693096413
0.099832526	0.841673944	0.092856671	0.604293296	0.134875091	0.62947345
0.402002849	0.877334108	0.48698277	0.564058281	0.170538734	0.607057159
0.825765155	0.285300108	0.290831086	0.118811817	0.612184697	0.585914435
0.448010528	0.43264489	0.877508026	0.591023541	0.558274945	0.170523171
0.877378368	0.458999416	0.425643993	0.170573969	0.575621513	0.539573572
0.882900785	0.054260388	0.875746597	0.175041729	0.690347299	0.17045919
0.877723791	0.484916195	0.393059707	0.170729165	0.625234413	0.582621808
0.877376495	0.45149394	0.431693099	0.17055582	0.610120086	0.576619439
0.876590073	0.469535941	0.411174201	0.170229811	0.590247286	0.551352478
