Vam	Vbm	Vcm	Iam	Ibm	Icm
0.881710314	0.041108742	0.040744876	0.175273272	0.691929145	0.692602279
0.876734835	0.884640787	5.4978E-06	0.170834363	0.17608211	0.699482405
0.013709548	0.875885886	0.883953464	0.697488986	0.170636988	0.175784477
0.872559637	0.874309131	0.046720576	0.165248451	0.168310931	0.658925291
0.060017156	0.060021259	0.060040171	0.640089684	0.640210716	0.640018081
0.448796742	0.87733911	0.444631826	0.578625111	0.170601551	0.608818123
0.856068854	0.065920667	0.079091155	0.149241077	0.652945623	0.63185519
0.054551647	0.051223234	0.057316492	0.653885425	0.654486262	0.654985399
0.880653203	0.027608507	0.027377182	0.175504692	0.694806232	0.695175701
0.027045242	0.075540614	0.075795545	0.679140379	0.680071288	0.678931737
0.41561101	0.87740121	0.470044947	0.535929367	0.17055339	0.575216397
0.880735169	0.027636092	0.027478396	0.17520647	0.694841724	0.695248793
0.099858007	0.841620285	0.09286364	0.60431849	0.134877553	0.62943914
0.872587973	0.874250956	0.075968793	0.164688985	0.168103459	0.650578202
0.111529801	0.86457676	0.856167328	0.592179146	0.156286031	0.155297271
0.841590202	0.102987892	0.099199094	0.134938095	0.627913845	0.602845226
0.111419493	0.86435266	0.856001183	0.592078224	0.155668685	0.155140413
0.419862682	0.877711444	0.470356168	0.521006735	0.170758565	0.559483631
0.855243466	0.102946587	0.078836431	0.149314638	0.643516476	0.623751995
0.857006789	0.123044744	0.864896069	0.156827881	0.588492796	0.155887104
0.877217571	0.437007766	0.446278599	0.170581174	0.575724272	0.546049911
0.106890559	0.082833417	0.854162169	0.643198711	0.623674476	0.149214846
0.041129188	0.040878627	0.881490803	0.692353968	0.692858834	0.175474685
0.091977717	0.299060085	0.252413319	0.623012626	0.627405443	0.621275662
0.437785564	0.445530846	0.877708625	0.593082687	0.563370386	0.17056581
4.91823E-06	0.88128378	4.81961E-06	0.699305012	0.175373519	0.698861652
0.855006043	0.091261884	0.074289759	0.149003886	0.645737923	0.625558736
0.855568772	0.079791093	0.071533959	0.149352484	0.648010051	0.627709629
0.415518768	0.877584548	0.462092464	0.589774497	0.170591106	0.626206503
0.869012175	0.08019605	0.077924283	0.162595127	0.674888243	0.662530279
0.484756217	0.392914121	0.877417843	0.625457149	0.582334157	0.17052294
0.402517954	0.877317251	0.486376883	0.56468286	0.170535504	0.607751338
0.877372382	0.439332326	0.444527239	0.17055384	0.609384697	0.579283368
0.876571475	0.065212281	0.873422848	0.169120223	0.652678468	0.165111524
0.123449737	0.121654201	0.098734609	0.613002999	0.611233987	0.614596084
0.425552181	0.877411553	0.464219686	0.573551576	0.170587289	0.60989437
0.074188949	0.855866268	0.091154622	0.625828909	0.149449863	0.645864976
0.825225255	0.822941784	0.826262809	0.299106552	0.298509456	0.299089438
0.821449408	0.823574346	0.823235185	0.2980791	0.298846986	0.298866972
0.880831778	0.027522628	0.027474367	0.174967204	0.694941296	0.695183459
0.841839049	0.125156725	0.103112301	0.135188051	0.623613648	0.598508833
0.425537649	0.87736746	0.459186198	0.539560879	0.170614687	0.575651896
0.855157903	0.065612807	0.078774864	0.148846386	0.653054058	0.632950209
0.10037232	0.841765384	0.114014321	0.600263378	0.134908458	0.625664826
0.862912696	0.862698568	0.863658625	0.218777781	0.218632433	0.219318549
0.867186339	0.86638809	0.095495701	0.159337848	0.16242956	0.617546616
0.825603964	0.146266789	0.129681296	0.119069162	0.603187771	0.574286624
0.480741177	0.401289122	0.877337702	0.590063774	0.54813169	0.17056744
0.866189701	0.104343876	0.865960382	0.162623348	0.615269474	0.159106052
0.869007848	0.098219054	0.081741754	0.162773166	0.667470791	0.65597926
0.863434404	0.856094784	0.123043097	0.155158237	0.155888406	0.588402583
0.873238847	0.875318525	0.046475833	0.165152306	0.168436338	0.658967338
0.047380426	0.046451902	0.052936129	0.657923928	0.658075059	0.657483552
0.054856281	0.054622985	0.05519446	0.689855587	0.690416739	0.68999268
0.054274839	0.875208329	0.882612445	0.690485492	0.170704048	0.175270861
0.867178323	0.866674914	0.095439024	0.159567339	0.162524792	0.617557066
0.434704754	0.877382658	0.455406852	0.576131393	0.170583809	0.609785997
0.87740073	0.480577243	0.405771181	0.170589223	0.57504227	0.532683274
0.455082367	0.436075924	0.877319713	0.610003961	0.576426244	0.170577892
0.877345468	0.459022573	0.425591648	0.170626453	0.575696038	0.539621142
0.862975771	0.855322309	0.116736337	0.155182322	0.155112151	0.590334905
0.877756256	0.448002088	0.432960734	0.170666874	0.591229636	0.558607658
0.464394529	0.425606806	0.877259999	0.609171536	0.572314447	0.170542986
0.877676382	0.480934949	0.410265796	0.170803091	0.559484246	0.517374189
0.1250526	0.103333102	0.841653987	0.623494464	0.598433845	0.13535616
0.876483626	0.88210828	5.49578E-06	0.171156086	0.175578331	0.699201532
0.876391359	0.881949877	0.040858622	0.170447758	0.175083269	0.693081851
0.859532104	0.84661036	0.153968922	0.152496195	0.15171571	0.560821641
0.040867205	0.875921629	0.882580259	0.693264559	0.170515369	0.174703359
0.08338329	0.102208971	0.841789603	0.631251781	0.605834204	0.134708299
0.05421807	0.881542769	0.054620467	0.691045996	0.175508103	0.690109487
0.028141217	0.88111215	0.028653295	0.695563853	0.175378492	0.69533324
0.048805669	0.045536018	0.053475831	0.656251217	0.656171671	0.656060637
0.103812618	0.841579185	0.124880786	0.597868322	0.135384044	0.623057042
0.877375619	0.448089755	0.435863811	0.17057294	0.575754047	0.542808082
