Vam	Vbm	Vcm	Iam	Ibm	Icm
0.866649842	0.104202731	0.866759179	0.162850733	0.614854874	0.159271642
0.027331465	0.875184332	0.884124986	0.695403071	0.170813792	0.176014019
0.860821217	0.845527861	0.141756217	0.15397077	0.150035036	0.564369744
0.881399541	4.84288E-06	4.91654E-06	0.175299484	0.698999523	0.699362211
0.083389152	0.08372861	0.084083328	0.632312717	0.632023796	0.632466742
0.877833951	0.46221424	0.415647045	0.17060565	0.626157401	0.589811262
0.855548945	0.079873425	0.071542601	0.149312317	0.647747589	0.627762233
0.473573381	0.404194536	0.877656115	0.625845205	0.586144189	0.170693669
0.846169687	0.14739382	0.861089361	0.150641258	0.562776622	0.153140025
0.071182773	0.065388173	0.084626972	0.669606563	0.670153756	0.670734025
0.13049486	0.862580953	0.856576538	0.586440069	0.154879228	0.156999599
0.092240776	0.078762897	0.869216353	0.670416533	0.65746023	0.162513913
0.094021078	0.337747343	0.288138869	0.622373891	0.625301738	0.621868056
0.87305996	0.875927483	0.065206128	0.165302027	0.16886221	0.652758274
0.116692475	0.864551977	0.855636482	0.590379867	0.155665146	0.155840539
0.054939682	0.054716208	0.055806299	0.690372828	0.690090633	0.690618915
0.825607149	0.198810112	0.210024344	0.118707286	0.610829914	0.584909161
0.877377411	0.448087794	0.435878398	0.170582366	0.575748193	0.542804372
0.08329003	0.083766536	0.083934021	0.632289461	0.632047606	0.632456581
0.861065132	0.844541047	0.141767709	0.153658093	0.149747985	0.564614142
0.081824555	0.079696111	0.869269996	0.673715135	0.661923787	0.162539562
0.854962496	0.107865754	0.864478221	0.15492546	0.593681751	0.156649072
0.123203716	0.863025536	0.855264634	0.588384312	0.155459571	0.156628907
0.203127148	0.825305852	0.205813005	0.583624084	0.118759903	0.610945478
0.411872506	0.877259846	0.470039531	0.551518094	0.170162511	0.590092799
0.154047427	0.857800063	0.845069203	0.560888962	0.151884701	0.151059328
0.86796594	0.865373556	0.087795856	0.159707749	0.161976259	0.61952503
0.867657013	0.866021703	0.077095716	0.159828412	0.161401064	0.623136405
0.867554726	0.866781898	0.08781466	0.15953389	0.16214633	0.619571696
0.047376749	0.046008881	0.052541111	0.657931817	0.658036082	0.657541311
0.438420721	0.438416053	0.876862364	0.626388265	0.59631116	0.170162982
0.88224616	0.040851019	0.874909544	0.174911642	0.692907884	0.170697207
