Vam	Vbm	Vcm	Iam	Ibm	Icm
0.205570736	0.209586419	0.825403626	0.609404735	0.58060489	0.119063647
0.480584062	0.401241395	0.877146204	0.59023319	0.54796855	0.170499789
0.464760437	0.424528295	0.877387378	0.608082412	0.571487375	0.170514145
0.099352791	0.841448087	0.103058388	0.602444897	0.135101175	0.627536392
0.843770053	0.133746259	0.863827005	0.148578607	0.567837337	0.155681974
0.865892609	0.095603289	0.866208018	0.162210512	0.617508332	0.15931846
0.425098081	0.877315513	0.464668997	0.572134391	0.170570456	0.608649036
0.462864923	0.877652616	0.448520753	0.531479364	0.170766417	0.560243521
0.103083477	0.099117617	0.841464303	0.627618117	0.602466489	0.135022849
0.868966592	0.082072232	0.072849659	0.162653721	0.673325592	0.660678161
0.448695875	0.439483686	0.877258563	0.559765139	0.527698382	0.170544803
0.071662798	0.855875208	0.079703884	0.627513496	0.149382382	0.647747513
0.027500222	0.028624634	0.028019923	0.694967354	0.694976962	0.695305586
0.515662572	0.525975289	0.877447631	0.562060765	0.532306715	0.170606003
0.872612096	0.874746043	0.055297682	0.165006812	0.16905364	0.654855739
0.862978837	0.863167574	0.863728761	0.218930916	0.218761038	0.2193193
0.082152396	0.868986571	0.092900772	0.656735414	0.162618722	0.670508358
0.877565579	0.447905568	0.43287152	0.170495733	0.591044038	0.558380821
0.459280996	0.429368422	0.876997085	0.559742638	0.524365091	0.17063546
0.844661877	0.137280676	0.861692988	0.149202577	0.566306995	0.154691218
0.877282478	0.447855298	0.43267014	0.170386825	0.59088174	0.558313532
0.083537586	0.076087714	0.855327133	0.648579106	0.627612274	0.149025271
0.062494589	0.062491488	0.062385363	0.63877342	0.638610618	0.638672533
0.855053754	0.091401815	0.074346199	0.148937764	0.645663098	0.625620529
4.8049E-06	0.881337164	4.91287E-06	0.699511301	0.175138116	0.699250587
0.108082726	0.865173294	0.85451696	0.593513352	0.15647046	0.154669778
0.402014998	0.877343513	0.486849628	0.564029625	0.170543432	0.606992151
0.847033374	0.846977666	0.847295585	0.257456952	0.256996088	0.257378388
0.874621276	0.874218622	0.873362664	0.188840977	0.189198468	0.188746288
0.04853176	0.87190313	0.87435299	0.658767644	0.165014712	0.168207519
0.427104051	0.877644844	0.45052593	0.592903677	0.170366593	0.626628216
0.866036304	0.08188413	0.867809924	0.161966347	0.62087001	0.159770335
0.444380132	0.876828905	0.43829357	0.562314426	0.170409089	0.591903871
0.055310259	0.87149177	0.875528392	0.654527059	0.164498652	0.16881374
0.86724462	0.86601843	0.081540367	0.159539228	0.161928759	0.621349908
0.100151167	0.841793818	0.114069294	0.600400997	0.134989397	0.625645171
0.213820716	0.211210572	0.825529128	0.609621743	0.581774968	0.118797904
0.859664548	0.845435248	0.147496671	0.15256894	0.150434466	0.562728857
0.867458437	0.104238522	0.866509574	0.163101679	0.61541585	0.159069498
0.443300393	0.876912232	0.439436843	0.562208056	0.170393978	0.591866268
0.877679211	0.877904805	0.877145633	0.170681052	0.171058481	0.170767657
0.076987755	0.867729092	0.865851774	0.623236018	0.159948297	0.161816056
