Vam	Vbm	Vcm	Iam	Ibm	Icm
0.065236054	0.87132217	0.875222439	0.65285898	0.16445267	0.168758421
0.864836125	0.855696788	0.107785169	0.156934223	0.155032457	0.593528075
0.480688421	0.405929924	0.877433677	0.575170391	0.532694725	0.170589508
0.874233583	0.049790793	0.871729074	0.16836861	0.658534935	0.165076999
0.8416232	0.083369867	0.102268698	0.134750882	0.631323215	0.60598028
0.074121016	0.855698496	0.091180244	0.625790256	0.149235785	0.645754277
0.846649208	0.846491937	0.84648103	0.256865629	0.256567903	0.256474088
0.014020404	0.014152391	0.881632661	0.69709612	0.697105218	0.175307978
0.855532701	0.103024348	0.078875039	0.149795593	0.643224475	0.623610234
0.014396399	0.881435492	0.014445158	0.697476141	0.175147891	0.697398533
0.877517603	0.884996784	5.49755E-06	0.170809657	0.176228647	0.699513964
0.867893966	0.865718866	0.087803664	0.159540535	0.16174335	0.619675336
0.863908305	0.856847425	0.130378151	0.155292233	0.15704021	0.58643892
0.054232516	0.881741766	0.05457514	0.69048519	0.175230384	0.690316998
0.054705863	0.051181096	0.057474751	0.653918953	0.654242858	0.654035798
0.092730554	0.298084265	0.250149677	0.623113561	0.627171006	0.621212564
0.43979256	0.87784552	0.448961302	0.527810017	0.170862309	0.559733051
0.841639049	0.092811961	0.099825718	0.134804363	0.629530801	0.604116551
0.856261673	0.123168134	0.863707995	0.15611787	0.588598099	0.155321934
0.846259769	0.147368039	0.861189926	0.150713697	0.562839045	0.153056542
0.099416668	0.841494953	0.103036712	0.602447485	0.135098884	0.627574188
0.44919265	0.877277201	0.444094672	0.579261819	0.170600832	0.609330467
0.448846236	0.439636034	0.877558513	0.55966181	0.527798497	0.170642564
0.867206699	0.866019739	0.0815451	0.15953947	0.161939367	0.621355572
0.480770532	0.410102361	0.877344847	0.559206604	0.517553218	0.170566156
0.112045659	0.116661836	0.175430189	0.617386475	0.619226392	0.61812165
0.133774134	0.86228811	0.84290373	0.567742446	0.155304779	0.148171035
0.486504874	0.401884438	0.877409464	0.607601408	0.564706816	0.170435666
0.877462506	0.462027239	0.415462454	0.170499385	0.626158831	0.589751896
