Vam	Vbm	Vcm	Iam	Ibm	Icm
0.87789698	0.459176506	0.422344884	0.170948002	0.591020943	0.554870601
0.470029549	0.411696375	0.877625688	0.590684725	0.551514278	0.17079486
0.862816894	0.84368778	0.133788218	0.155514497	0.148408728	0.567773961
0.470398694	0.419790482	0.877679165	0.559604988	0.521084696	0.170575147
0.866786834	0.866700591	0.095464446	0.159513372	0.162314838	0.617566476
0.465442698	0.87749445	0.449635537	0.531183073	0.170691246	0.560348699
0.084305439	0.075947723	0.855412735	0.647668821	0.628101672	0.149239704
0.856154498	0.123157068	0.86415073	0.156150797	0.5885829	0.15535083
0.876219082	0.884158229	0.013707931	0.170652364	0.175951875	0.69741192
0.877062326	0.469766629	0.41139584	0.170065521	0.590409491	0.551618293
0.877676791	0.473585504	0.404203159	0.170541405	0.625856665	0.586175342
0.068840508	0.079449769	0.855195544	0.651926487	0.632350337	0.148784071
0.461666129	0.415102661	0.87674156	0.62622514	0.589706098	0.170686044
0.05531037	0.870468934	0.87324851	0.654942932	0.164226957	0.168202893
0.128330161	0.122680758	0.203510134	0.617907522	0.619294689	0.618786792
0.845848727	0.847388602	0.84693446	0.25734646	0.257008783	0.257162677
0.871069572	0.875429929	0.047262569	0.16502941	0.16892827	0.657001615
0.450280348	0.426855556	0.877150717	0.626476744	0.593102877	0.170624076
0.825507187	0.137752121	0.128491632	0.11897847	0.604357282	0.575487791
0.825788766	0.196529775	0.199774198	0.118966999	0.612721138	0.585384143
0.071644874	0.855693252	0.079669034	0.627720267	0.149146308	0.647880338
4.98994E-06	4.87913E-06	0.88140785	0.699190577	0.699331802	0.175413082
0.041173615	0.040859655	0.882663079	0.692462601	0.692856163	0.175543562
0.864962065	0.855406573	0.107800144	0.156708135	0.154754483	0.59351679
0.077199243	0.867961651	0.865035409	0.623248478	0.160016843	0.161522031
0.877304521	0.461948269	0.415383415	0.170445498	0.626140872	0.589755412
0.054814235	0.051075858	0.057021556	0.654083151	0.654271593	0.654378922
0.855595517	0.079874315	0.071597329	0.149358214	0.647776442	0.627571816
0.470433523	0.419918725	0.877842346	0.55962297	0.521038147	0.170542006
0.876589469	0.882468701	0.013705824	0.170670101	0.174943607	0.697264662
0.46444532	0.425098089	0.877337294	0.607053643	0.570437367	0.170524498
0.867100797	0.866960819	0.087819737	0.159392495	0.162146359	0.619385585
0.877387437	0.473437806	0.40406102	0.170473495	0.625870184	0.585951163
0.469777107	0.415831363	0.877380091	0.575369919	0.536114227	0.170509488
0.878063709	0.473775063	0.404400809	0.170457921	0.625879625	0.586120637
0.072009309	0.070010578	0.073839014	0.649207903	0.649942231	0.649101653
0.403933284	0.87712844	0.473307096	0.586072294	0.170663105	0.625855399
