Vam	Vbm	Vcm	Iam	Ibm	Icm
0.872700498	0.873659801	0.055310408	0.165112901	0.168790317	0.654922211
0.884280134	0.027324352	0.875301118	0.175697268	0.695154342	0.170467248
0.047209187	0.871130728	0.875245029	0.656756434	0.164236538	0.16850514
0.480900477	0.401565979	0.877789632	0.590143361	0.54824535	0.17067769
0.865977178	0.081827694	0.866993163	0.161726539	0.62116858	0.159657331
0.40403166	0.877322114	0.473403231	0.586174576	0.170462732	0.625877346
0.099967637	0.841778321	0.114131357	0.600402063	0.135001295	0.625634665
0.480711736	0.405738665	0.877431891	0.575193229	0.532701211	0.170599219
0.87738098	0.451284097	0.432265991	0.170531094	0.608811723	0.575521161
0.103510716	0.841715186	0.125055836	0.598191948	0.135198486	0.623323786
0.081728157	0.867574298	0.865288142	0.62108546	0.159643609	0.161537913
0.014403167	0.014447651	0.880954339	0.696731953	0.69727712	0.175157093
0.17255696	0.091470024	0.182881726	0.615731109	0.616529534	0.616268143
0.076027654	0.870950144	0.874500145	0.650503696	0.164483302	0.168621287
0.081550222	0.867871199	0.865791491	0.621291577	0.159806395	0.161882769
0.066704531	0.052465561	0.080837942	0.673102433	0.672368864	0.674077543
0.01425985	0.014335805	0.881446762	0.696691475	0.697374423	0.175181972
0.877246097	0.461916314	0.415357287	0.170525534	0.626155329	0.589735307
0.041013564	0.041522037	0.041737906	0.692260627	0.692406743	0.69235566
0.027418432	0.076942383	0.076682217	0.678623492	0.680191741	0.67857689
0.40415359	0.877566645	0.473525034	0.586021666	0.170619427	0.625876154
0.485207373	0.393368103	0.878321608	0.625514755	0.582422838	0.170866862
0.841694938	0.113813611	0.100265149	0.135039179	0.625740564	0.60054748
0.092645901	0.099695954	0.841517087	0.629610252	0.604175455	0.134833128
0.103035347	0.099249467	0.841528307	0.627724582	0.602500024	0.135026171
0.877977522	0.481115552	0.410381326	0.170737524	0.559422645	0.517341814
0.521116921	0.513815046	0.87724347	0.562983293	0.534242831	0.1707135
0.871169412	0.874263501	0.055337408	0.164416582	0.168085267	0.654862739
0.868901194	0.07727631	0.081174869	0.162577905	0.676385689	0.66499236
0.87736287	0.473430243	0.409969828	0.170579419	0.608779635	0.569144547
0.013757074	0.014203733	0.014211433	0.69673381	0.697204576	0.697304701
0.214063481	0.204387164	0.826918182	0.607562155	0.579926333	0.119302644
0.054286627	0.875917191	0.8830647	0.690732797	0.170942057	0.175171733
0.099725083	0.8416667	0.092860504	0.604196651	0.134876615	0.629568261
0.874490876	0.065211965	0.871731491	0.168719286	0.652865459	0.164581313
0.15401123	0.859913783	0.846471836	0.560875093	0.152333358	0.151595035
0.875059307	0.065219109	0.872134996	0.168788886	0.65280603	0.164941845
0.825593464	0.137887691	0.129841218	0.118903935	0.604420427	0.575444119
0.874451213	0.882642591	0.054277895	0.170580138	0.174893755	0.690548893
0.825474499	0.19900029	0.213086088	0.118757281	0.611887187	0.584809084
0.854607769	0.116627066	0.864342764	0.155974879	0.590330335	0.156136867
0.861526457	0.843651591	0.137133593	0.153826984	0.148279287	0.566288129
0.476922152	0.412879859	0.877522139	0.60836198	0.568830422	0.170586027
0.071363797	0.856399485	0.068851072	0.629726326	0.149074879	0.649768527
0.083805309	0.868831023	0.080517478	0.664817235	0.162562109	0.67617604
0.42202774	0.877403054	0.459285016	0.555163461	0.170413327	0.590960662
0.881303542	0.027604821	0.027448755	0.175610058	0.694818901	0.695071731
0.464920303	0.424742941	0.877361294	0.607261769	0.570600332	0.170525943
0.825708569	0.290094903	0.295748317	0.118629222	0.614151964	0.587830404
0.083507049	0.076039936	0.855028478	0.648369101	0.627636348	0.1486483
0.85503314	0.09151256	0.07425584	0.148978475	0.64564935	0.625634059
4.85718E-06	4.94496E-06	0.881035717	0.699126643	0.69952547	0.175152678
0.103178378	0.099153613	0.841496851	0.627735748	0.602763706	0.135013258
0.877466211	0.473480406	0.404096789	0.170641952	0.62586588	0.586107251
0.072663323	0.066099018	0.087117264	0.670298453	0.669932741	0.670900689
0.410301424	0.877756095	0.480981416	0.517593816	0.170601969	0.55939583
0.103102545	0.099242616	0.841531104	0.627794413	0.602721788	0.135031136
0.091913246	0.079535128	0.869156823	0.670218008	0.657731021	0.162583866
0.87720247	0.438590503	0.438585767	0.17037691	0.626389282	0.596458237
0.845849243	0.147380237	0.86019537	0.150661535	0.562803252	0.152984384
0.847385322	0.153965047	0.860605471	0.151355224	0.560921886	0.15230312
0.013771556	0.014801141	0.014576037	0.697054384	0.69728514	0.696848518
0.864273105	0.856283219	0.116666535	0.155901787	0.155649137	0.590393889
0.147432938	0.860540806	0.845057587	0.562603672	0.152893139	0.150553517
0.874446226	0.065163657	0.872707212	0.169106779	0.652661238	0.165300232
