Va	Vb	Vc	Ia	Ib	Ic
0.076018636	0.870940187	0.874749923	0.650442823	0.16423883	0.168836445
0.865153464	0.854428582	0.107719662	0.156700428	0.154647426	0.59356932
0.124659291	0.102880515	0.841592483	0.623863039	0.598740574	0.135229035
0.061626772	0.052187808	0.079285893	0.679323848	0.678603968	0.678254289
0.875193379	0.075989145	0.871888265	0.168528601	0.650547806	0.164915856
0.047567217	0.042191159	0.075728642	0.677868723	0.676948605	0.679676016
0.079369529	0.082623902	0.868872157	0.676633978	0.665428573	0.16260656
0.877357553	0.448097854	0.435849903	0.170567901	0.575769764	0.542837473
0.873452863	0.047047313	0.871035582	0.168446848	0.656914765	0.164440686
0.84151082	0.102946869	0.099091101	0.134982555	0.627564574	0.602416688
0.877309734	0.448110092	0.435769442	0.170577702	0.575878131	0.542941392
0.055004018	0.047477085	0.078792146	0.67512597	0.674222331	0.674787143
0.841693545	0.083411427	0.102254754	0.134749227	0.631138842	0.605922623
0.864691171	0.854073252	0.107760732	0.156405347	0.15422679	0.593863181
0.044813806	0.872508326	0.874695173	0.659081699	0.165172427	0.168675128
0.047845566	0.040632893	0.073789205	0.677576478	0.676891594	0.679249464
0.874059202	0.076029767	0.870614231	0.168225288	0.65066164	0.16452821
0.103674666	0.841330093	0.125011229	0.598205058	0.135344146	0.623122617
0.060068596	0.060004381	0.059931136	0.640336933	0.640243499	0.640682323
0.092654052	0.099724581	0.841445204	0.629600684	0.60416493	0.134969559
0.871411449	0.874397224	0.055326954	0.164441962	0.168192428	0.654903317
0.446398338	0.877482695	0.43714887	0.546089032	0.170568322	0.575792161
0.099261996	0.841633889	0.103070029	0.602552717	0.134957503	0.627823324
0.854327949	0.111424652	0.864784204	0.155419313	0.592102939	0.156624714
0.098693392	0.081864222	0.868978949	0.666230285	0.653546824	0.162691042
0.874309713	0.076040229	0.871138218	0.16840816	0.650542879	0.164507397
0.092675151	0.099735533	0.841437887	0.629583273	0.604150551	0.134944062
0.062525568	0.062509353	0.062659232	0.638407901	0.638404933	0.638582319
0.864411979	0.85556168	0.111468301	0.156330698	0.155032281	0.59194027
0.402592833	0.877379951	0.485909269	0.566047105	0.170602037	0.608765831
0.480549166	0.405914829	0.877368991	0.575255394	0.532975951	0.170547459
0.099593226	0.841723428	0.092769561	0.604204356	0.134835411	0.629554769
0.868634863	0.077703501	0.080952697	0.162435496	0.679068119	0.666944229
0.877436488	0.43712084	0.446382709	0.170626035	0.57576303	0.546103161
0.877466917	0.459078796	0.425657957	0.170588667	0.575663908	0.539503584
0.098608711	0.081056939	0.868964169	0.664412243	0.653786685	0.162767988
0.864455707	0.855590013	0.111454115	0.15607732	0.155079026	0.592130791
0.092731113	0.09972493	0.841675549	0.629587447	0.604309067	0.134904657
0.405664047	0.877237828	0.480738632	0.532947758	0.170582824	0.575228581
0.083618627	0.083620632	0.08411863	0.632375133	0.632259705	0.632539254
0.480572991	0.40594814	0.877411433	0.574837122	0.532429659	0.170509089
0.405824385	0.877370884	0.480664567	0.532673865	0.170600095	0.57520877
0.053996807	0.036341023	0.074722621	0.679342316	0.679685998	0.682619696
0.863315816	0.856651448	0.11670574	0.156317382	0.156368882	0.590346816
0.437077008	0.446320234	0.877331472	0.575771105	0.546031703	0.170573638
0.871668936	0.87495942	0.047150469	0.164694836	0.16839036	0.657066293
0.055069646	0.047343041	0.078495829	0.675265154	0.674087207	0.674982857
0.877478526	0.462435472	0.420846863	0.170613916	0.609140901	0.57237801
0.107478142	0.865170699	0.855150615	0.593892267	0.156619103	0.15466708
0.080534807	0.07725841	0.868716261	0.670730541	0.661196401	0.16259551
0.054751211	0.047488427	0.078494982	0.675015235	0.674542813	0.674770993
0.874965144	0.046902338	0.871744293	0.168446854	0.659582785	0.164773504
0.856103234	0.116688288	0.863798166	0.155667886	0.590272703	0.155619783
0.083483505	0.083583307	0.083860112	0.632113355	0.63221366	0.632284314
0.084021141	0.868976083	0.079690742	0.665472861	0.162475072	0.677777149
0.841749615	0.092659061	0.099707153	0.134875382	0.629683626	0.604255596
0.04691537	0.044594174	0.078012872	0.677103866	0.676859319	0.677983592
0.877326261	0.450873228	0.432349247	0.170561407	0.608442939	0.574978523
0.446348058	0.877387007	0.437104094	0.54612152	0.170553474	0.575790233
