Va	Vb	Vc	Ia	Ib	Ic
0.444164964	0.448553177	0.877403602	0.608047583	0.578297055	0.17057783
0.446299482	0.877263063	0.437032206	0.5458901	0.170535873	0.57557978
0.877444388	0.480659857	0.405658164	0.170548655	0.574800747	0.532451301
0.841798018	0.092776202	0.099704322	0.134794289	0.629571595	0.604279721
0.870915486	0.874667825	0.075949875	0.16421427	0.168322433	0.650476486
0.107576333	0.865327385	0.854907424	0.593973079	0.156934216	0.154976625
0.059559166	0.051978172	0.077528766	0.678398737	0.678220005	0.679326638
0.875592224	0.055335896	0.871240886	0.168684653	0.654881237	0.164600105
0.062469596	0.062498459	0.062500896	0.638577981	0.638508115	0.638628015
0.865095672	0.854331417	0.107710482	0.156520232	0.154337945	0.593836441
0.44445781	0.449331618	0.877332029	0.609758338	0.579864778	0.170603683
0.874469144	0.047070907	0.872742521	0.168396835	0.65695532	0.164733699
0.87743405	0.462420421	0.420893173	0.170660074	0.608988889	0.572285507
0.130417155	0.862968711	0.857998367	0.586537531	0.154888295	0.157036789
0.079793569	0.869096648	0.088397916	0.662165913	0.16269406	0.673967313
0.116727007	0.864693087	0.856188867	0.590340594	0.155894983	0.155984046
0.85548025	0.107794934	0.864749552	0.155142308	0.593946684	0.156777668
0.872634201	0.875417527	0.075956139	0.165061814	0.169194238	0.650592799
0.863427251	0.854911894	0.111392078	0.155845282	0.154643224	0.592103742
0.425617813	0.877301685	0.459108249	0.539410716	0.170595737	0.57561304
0.872441069	0.874085614	0.047281584	0.164705854	0.168139429	0.657004296
0.465481076	0.424216596	0.877423632	0.609226223	0.572282551	0.170632897
0.079386602	0.86897798	0.088004263	0.661582165	0.162608566	0.673163067
0.45910591	0.425618979	0.87734653	0.575610394	0.539419634	0.170548466
0.871077235	0.874945296	0.075996985	0.164423399	0.168671421	0.650319105
0.87747874	0.462435343	0.420847742	0.170613737	0.609140828	0.572378033
0.446358986	0.87739962	0.437107763	0.546119634	0.170572488	0.575798355
0.487223248	0.401389115	0.877401063	0.607646778	0.564514327	0.170545756
0.056428975	0.044473022	0.076109213	0.675737741	0.674515055	0.676363523
0.863634576	0.856367907	0.116647129	0.15515755	0.15534706	0.590322932
0.055305874	0.871875151	0.874790805	0.654961563	0.164777376	0.168589889
0.103236091	0.841672318	0.124822361	0.598569565	0.135238457	0.623740225
0.877340762	0.462250197	0.421161293	0.170546118	0.609722554	0.573211465
0.855596868	0.107813747	0.864425658	0.155102159	0.593905701	0.15676645
0.44810757	0.43582736	0.877330656	0.57598277	0.543080117	0.17051366
0.864609556	0.854850101	0.111442274	0.156322928	0.155254575	0.592045317
0.855751648	0.111435968	0.864805267	0.155311483	0.59220679	0.156483191
0.871382681	0.875313678	0.055368434	0.164461295	0.16881397	0.654881582
0.086103594	0.076570033	0.86885	0.673779685	0.662251942	0.162549682
0.877440046	0.448159862	0.435875737	0.170582061	0.575651838	0.54279375
0.081780292	0.869168806	0.083907295	0.660130891	0.162536315	0.673081838
0.864482103	0.855957125	0.116620657	0.15566013	0.155753189	0.590263127
0.080250685	0.077693662	0.868718955	0.673827187	0.662518763	0.16267769
0.067696011	0.067697906	0.067917895	0.636360221	0.636548185	0.636523219
0.877453045	0.480579917	0.405787408	0.170523846	0.574927095	0.532487529
0.079304785	0.869065282	0.088080068	0.662051677	0.16269772	0.673994004
0.877389363	0.480608231	0.405705307	0.170529269	0.574819246	0.53239478
0.056345574	0.040545415	0.081582961	0.678582971	0.679494566	0.68026866
0.865188731	0.854705036	0.107721908	0.15679482	0.154491192	0.59391134
0.402558241	0.877358478	0.48556314	0.56642677	0.170532884	0.609169886
0.124639179	0.102774003	0.841625842	0.623887368	0.598703881	0.135230886
0.130435382	0.862499004	0.856844558	0.586534768	0.154726985	0.156857585
0.877341529	0.450922621	0.432360544	0.170565324	0.609518247	0.576421343
0.059494346	0.051931616	0.077775043	0.679064591	0.678636657	0.679708207
0.070062348	0.066501386	0.085786719	0.669276386	0.671200368	0.671578466
0.877353683	0.437086729	0.446335664	0.170554036	0.57570867	0.545991914
0.060032012	0.060000514	0.060013487	0.640190428	0.640017676	0.640107489
0.841732701	0.102933481	0.099058341	0.134962148	0.627992711	0.602577494
0.877385479	0.459040465	0.425590861	0.170548337	0.57568859	0.539522468
0.872469162	0.875247742	0.055374582	0.16505415	0.168807417	0.655083664
0.116697691	0.863816124	0.855290931	0.590397227	0.155959921	0.156009917
0.87114113	0.874382377	0.055304133	0.164409732	0.168186942	0.654863617
0.40585198	0.877404576	0.480705706	0.532958781	0.170645894	0.575195789
0.111447558	0.864704837	0.85574053	0.592125337	0.156390622	0.155293589
0.099185599	0.84171794	0.103106067	0.602700401	0.134973383	0.627758116
0.124640126	0.103321734	0.84136723	0.623728319	0.598393854	0.135376229
0.107524161	0.86474485	0.854995535	0.59396368	0.156552672	0.154580327
0.86369247	0.856150911	0.116664068	0.155743687	0.155820539	0.59025216
0.103063466	0.098911714	0.841791275	0.627796045	0.602687937	0.134963515
0.047114345	0.043183984	0.076390815	0.677337413	0.677250556	0.678901772
0.863160182	0.856804383	0.130447596	0.154714468	0.156654215	0.586612738
0.446301091	0.877270387	0.437035373	0.545906182	0.170557736	0.575643908
0.425357714	0.877354991	0.465032677	0.572341556	0.170585811	0.608750911
0.871685118	0.875208027	0.075993187	0.164555962	0.168963166	0.650400472
0.444545843	0.449559252	0.877389257	0.610375737	0.580234178	0.170582842
0.078176357	0.868680283	0.086230093	0.661531259	0.162704848	0.672387459
