Va	Vb	Vc	Ia	Ib	Ic
0.869148882	0.098601728	0.081119079	0.16263589	0.667311978	0.655523663
0.865543769	0.856363517	0.111438702	0.156461426	0.15532706	0.592118364
0.048198879	0.039512805	0.072763006	0.677727254	0.677077031	0.67880538
0.046545717	0.043974123	0.076850596	0.677277251	0.677444371	0.679234173
0.045150433	0.872314022	0.87456159	0.658468855	0.165172712	0.168306849
0.872176196	0.874545823	0.047372444	0.16475967	0.168813731	0.656864508
0.083640606	0.083693373	0.08427187	0.632165762	0.632275144	0.632647954
0.060034737	0.059983746	0.060003828	0.640168436	0.640052188	0.640212241
0.062571266	0.062474396	0.062496716	0.638213618	0.638680329	0.638471189
0.869151362	0.09808985	0.081204624	0.162569047	0.66991469	0.656748086
0.102267305	0.841550852	0.083331217	0.605711009	0.13470085	0.630790334
0.067757209	0.06773344	0.068100497	0.636737038	0.636416605	0.636853321
0.877404129	0.480530477	0.405732085	0.170485694	0.575172208	0.53278546
0.870761537	0.87513707	0.075994774	0.164486182	0.168767386	0.650316301
0.067608864	0.067617959	0.067864679	0.636508708	0.63649993	0.636888212
0.877388526	0.450789796	0.432378247	0.170593519	0.610567256	0.577204347
0.450316061	0.87738229	0.443106517	0.580768248	0.17053568	0.610594286
0.84165217	0.125130689	0.103016976	0.135229791	0.623841145	0.598981078
0.871796636	0.87477592	0.055355151	0.164827369	0.168449314	0.65486321
0.866020685	0.855430863	0.107766636	0.156806109	0.154813069	0.593952913
0.873835715	0.05530472	0.872245602	0.168672302	0.654852035	0.16520044
0.086278843	0.868911736	0.082937772	0.664975776	0.162558757	0.677676657
0.405879256	0.877398718	0.480697136	0.532998151	0.170637481	0.575315682
0.877405383	0.459049507	0.425605694	0.170547115	0.575669324	0.53951276
0.076038323	0.871156193	0.875738331	0.650622855	0.164304332	0.168554481
0.07002008	0.066397077	0.085177479	0.669686799	0.671118134	0.671744462
0.083371004	0.102160789	0.841335929	0.630834475	0.605837651	0.134809249
0.053882494	0.048640609	0.078505255	0.673846883	0.675701912	0.67707356
0.84181647	0.125178983	0.103209662	0.135353618	0.623567991	0.598360364
0.102981365	0.098773522	0.841532855	0.627670067	0.602674407	0.134998464
0.083555251	0.083657049	0.08393672	0.632264793	0.631953534	0.632484289
0.047144679	0.871052057	0.875776657	0.656850319	0.164726698	0.168736718
0.402155334	0.877275834	0.485822397	0.566482742	0.170475141	0.609254753
0.044712295	0.871932016	0.874265866	0.658929627	0.16492707	0.168593939
0.447852829	0.877232652	0.44592005	0.577672429	0.170524385	0.608303241
0.877347587	0.448094639	0.435827017	0.170584361	0.575852569	0.542915623
0.855515946	0.116686101	0.862891236	0.155599432	0.590372392	0.155439224
0.864809266	0.855608329	0.107836479	0.156466571	0.154535065	0.593886531
0.086201088	0.869019415	0.082685966	0.665029818	0.162533529	0.677717129
0.869167474	0.098525298	0.081655883	0.162581655	0.667868375	0.65655835
0.449631221	0.877252353	0.44399725	0.580351818	0.170596855	0.609814066
0.841626869	0.103094821	0.099040185	0.134967846	0.627615317	0.602598611
0.868676559	0.084559095	0.082816406	0.162620988	0.67488417	0.661946423
0.083512853	0.083635938	0.08395298	0.632231813	0.632158177	0.632879707
0.102295296	0.841512087	0.083366233	0.605640674	0.134663209	0.630900912
0.443261508	0.448169547	0.877295174	0.607912337	0.577273092	0.170597226
0.056488567	0.040110028	0.081304423	0.678403777	0.679503721	0.680185587
0.098031434	0.07949046	0.869180748	0.668219668	0.657188466	0.162693688
0.044468326	0.871807272	0.874627449	0.658813078	0.164720426	0.168569796
0.107580076	0.864464039	0.854873885	0.593821364	0.156289473	0.1546057
0.062421371	0.062534814	0.062522859	0.638404994	0.638302234	0.638718251
0.056489057	0.039115692	0.080361819	0.678377157	0.679345749	0.679692575
0.076031734	0.870920768	0.87454431	0.650509861	0.164518638	0.168674447
0.443679298	0.447673262	0.877365195	0.607001941	0.576787729	0.17056824
0.083367044	0.102164401	0.841529163	0.631088088	0.60605456	0.134870367
0.047539268	0.870375451	0.87353245	0.656915106	0.164737773	0.168145637
0.107672079	0.864877656	0.854680159	0.594052102	0.156505495	0.154519102
0.079598881	0.868768009	0.08724278	0.659990628	0.162699724	0.672501948
0.856542622	0.111444811	0.864089462	0.155634688	0.592124036	0.156569344
0.877172155	0.451265632	0.431851687	0.170566774	0.60991398	0.576422024
0.082577778	0.869025073	0.100368224	0.656612721	0.162655619	0.668479778
0.049374795	0.042948613	0.078282689	0.677039283	0.677171067	0.678563662
0.871364792	0.876098033	0.055349059	0.164389339	0.168799023	0.654931621
0.060044085	0.059994983	0.059941031	0.639822931	0.640237734	0.639602664
0.077753858	0.86872115	0.08539014	0.659804638	0.162696237	0.671494416
0.875597046	0.076001959	0.871699	0.169175509	0.650267085	0.165002529
0.868348072	0.075952689	0.077835402	0.162589795	0.67467741	0.665074028
0.097801824	0.081374739	0.868766542	0.667709138	0.654801992	0.162679505
0.425060395	0.877441149	0.46562841	0.57259784	0.170622363	0.609216713
0.874843966	0.046953969	0.872242811	0.168569111	0.659543666	0.164960781
0.083963567	0.074187025	0.869066278	0.673155579	0.660759864	0.162541045
0.067768556	0.067744486	0.068113637	0.636566818	0.636529123	0.636885581
0.098637039	0.081746121	0.868922414	0.667389528	0.657150763	0.162742343
0.053955315	0.048775632	0.078726392	0.674057625	0.675707961	0.677045721
0.865371457	0.855461458	0.107671418	0.156854387	0.154490172	0.593836066
